Location,Size (sqft),Bedrooms,Bathrooms,Year Built,Condition,Price
Suburban,1295,5,1,2007,5,61023
Urban,1163,1,3,1961,1,216619
Urban,2020,1,2,1983,5,168012
Suburban,1279,2,1,2004,1,206542
Urban,2268,1,1,1961,2,316979
Urban,3072,2,2,1988,5,418501
Rural,1979,2,3,1982,5,433934
Rural,2353,3,3,1975,3,172402
Urban,1636,4,2,1957,4,215421
Urban,1520,2,2,1965,2,325987
Suburban,2029,4,3,1981,2,59337
Suburban,1528,3,1,1961,1,426965
Suburban,1063,1,3,1975,3,473570
Urban,1636,4,2,1957,4,215421
Urban,2395,5,1,2012,5,280907
Urban,2268,1,1,1961,2,316979
Rural,1900,4,1,1982,2,155787
Rural,1370,4,2,1983,1,346764
Urban,1636,4,2,1957,4,215421
Rural,3180,3,3,2010,2,345451
Suburban,2143,1,3,2018,3,438043
Suburban,2423,3,2,2006,5,383870
Rural,1040,3,2,1965,5,495952
Suburban,1551,3,1,1950,3,71447
Rural,1995,2,2,2007,5,168874
Urban,1782,5,2,2016,5,70159
Rural,706,3,3,1965,5,332703
Suburban,1295,5,1,2007,5,61023
Urban,1782,5,2,2016,5,70159
Urban,1520,2,2,1965,2,325987
Urban,3125,1,3,2018,2,205576
Suburban,595,1,1,2000,5,164065
Suburban,2198,1,2,1964,4,356626
Urban,2989,1,1,1956,4,488661
Urban,1163,1,3,1961,1,216619
Suburban,2778,1,2,1996,1,350557
Rural,2353,3,3,1975,3,172402
Suburban,1209,2,2,2014,5,228677
Urban,2131,1,3,1951,4,132844
Rural,2070,2,1,2007,3,73960
Rural,3314,3,1,2007,3,179695
Rural,2353,3,3,1975,3,172402
Suburban,2737,3,2,1999,5,414167
Urban,1538,2,1,2010,1,405540
Rural,1662,3,3,1998,2,337433
Urban,1863,1,2,1953,2,336103
Suburban,2097,4,2,1959,5,411801
Suburban,1996,4,3,1961,1,373673
Rural,3314,3,1,2007,3,179695
Rural,1683,1,3,1982,1,249938
Rural,878,2,3,1957,5,267841
Suburban,1304,3,3,1979,5,392363
Rural,1908,1,1,1984,5,396809
Suburban,3477,5,3,1989,3,223416
Urban,700,1,1,1955,1,236843
Rural,2070,2,1,2007,3,73960
Suburban,1985,1,2,1972,1,415477
Suburban,2778,1,2,1996,1,350557
Rural,2481,3,3,1965,4,116203
Urban,3273,4,2,1968,1,340160
Rural,3180,3,3,2010,2,345451
Rural,891,1,2,2019,5,65485
Suburban,2682,1,2,2017,5,80355
Suburban,1996,4,3,1961,1,373673
Suburban,2178,2,2,2018,3,364782
Suburban,1854,3,1,1973,1,431300
Urban,3195,4,3,2007,2,76790
Urban,1984,4,1,2018,1,333876
Rural,1683,1,3,1982,1,249938
Rural,1040,3,2,1965,5,495952
Urban,2395,5,1,2012,5,280907
Suburban,2257,4,3,1978,3,67640
Urban,1782,5,2,2016,5,70159
Rural,1559,4,3,1997,4,160133
Suburban,2423,3,2,2006,5,383870
Urban,2778,4,3,2009,4,315853
Suburban,3477,5,3,1989,3,223416
Urban,3175,1,1,2000,3,470571
Urban,3195,4,3,2007,2,76790
Urban,3032,1,2,2018,4,102528
Urban,1363,4,3,1971,4,309747
Suburban,595,1,1,2000,5,164065
Rural,1559,4,3,1997,4,160133
Urban,1183,4,3,1962,1,369187
Suburban,2423,3,2,2006,5,383870
Rural,1979,2,3,1982,5,433934
Rural,1662,3,3,1998,2,337433
Suburban,1551,3,1,1950,3,71447
Rural,2296,2,2,2002,1,190507
Urban,2251,4,1,1962,1,89298
Urban,817,5,2,1993,1,390896
Urban,2020,1,2,1983,5,168012
Rural,1662,3,3,1998,2,337433
Rural,2296,2,2,2002,1,190507
Rural,1662,3,3,1998,2,337433
Urban,2131,1,3,1951,4,132844
Rural,891,1,2,2019,5,65485
Rural,2836,1,1,2009,5,54748
Urban,1934,2,3,1989,3,417760
Suburban,2682,1,2,2017,5,80355
Urban,2268,1,1,1961,2,316979
Rural,2481,3,3,1965,4,116203
Urban,2778,4,3,2009,4,315853
Suburban,2178,2,2,2018,3,364782
Rural,2070,2,1,2007,3,73960
Urban,892,4,3,1950,4,178148
Suburban,1279,2,1,2004,1,206542
Urban,3125,1,3,2018,2,205576
Suburban,2538,1,2,1973,4,96427
Urban,2989,1,1,1956,4,488661
Urban,2989,1,1,1956,4,488661
Suburban,3193,5,1,1968,3,454191
Urban,1520,2,2,1965,2,325987
Suburban,2363,3,2,1996,3,456332
Urban,3140,5,2,1991,3,274786
Rural,1979,2,3,1982,5,433934
Suburban,1063,1,3,1975,3,473570
Urban,700,1,1,1955,1,236843
Rural,2222,4,2,1972,5,200159
Urban,1538,2,1,2010,1,405540
Urban,2395,5,1,2012,5,280907
Rural,3290,1,1,2016,4,141362
Suburban,2423,3,2,2006,5,383870
Rural,2527,4,3,1971,4,284677
Suburban,897,4,1,1950,3,465916
Rural,3160,1,1,2011,1,263920
Urban,3195,4,3,2007,2,76790
Urban,2268,1,1,1961,2,316979
Suburban,2143,1,3,2018,3,438043
Suburban,1985,1,2,1972,1,415477
Suburban,2198,1,2,1964,4,356626
Rural,2498,4,2,1995,5,409151
Suburban,2319,4,3,1959,5,222502
Suburban,3193,5,1,1968,3,454191
Suburban,2737,3,2,1999,5,414167
Suburban,1551,3,1,1950,3,71447
Urban,1363,4,3,1971,4,309747
Urban,3032,1,2,2018,4,102528
Suburban,2198,1,2,1964,4,356626
Suburban,1148,3,3,1992,5,481304
Rural,2481,3,3,1965,4,116203
Rural,2588,5,3,1954,2,173961
Rural,1460,3,2,2004,1,345735
Suburban,3104,1,2,2001,2,391003
Urban,1782,5,2,2016,5,70159
Rural,1370,4,2,1983,1,346764
Urban,1636,4,2,1957,4,215421
Urban,1538,2,1,2010,1,405540
Suburban,1148,3,3,1992,5,481304
Suburban,3104,1,2,2001,2,391003
Rural,1683,1,3,1982,1,249938
Rural,1908,1,1,1984,5,396809
Rural,918,3,2,2003,1,136188
Rural,1900,4,1,1982,2,155787
Rural,891,1,2,2019,5,65485
Suburban,3193,5,1,1968,3,454191
Urban,2131,1,3,1951,4,132844
Rural,2481,3,3,1965,4,116203
Urban,1538,2,1,2010,1,405540
Suburban,2538,1,2,1973,4,96427
Suburban,2737,3,2,1999,5,414167
Suburban,2737,3,2,1999,5,414167
Urban,2395,5,1,2012,5,280907
Suburban,2198,1,2,1964,4,356626
Rural,2588,5,3,1954,2,173961
Urban,1363,4,3,1971,4,309747
Urban,3195,4,3,2007,2,76790
