Soil Type,Sunlight (hours/day),Water Supply (liters/week),Temperature (Â°C),pH Level,Plant Species,Thrives
Clay,11,10,30,6.1,Lily,Yes
Sandy,11,28,26,7,Fern,No
Clay,6,9,25,5.7,Cactus,Yes
Clay,4,24,17,5.5,Fern,Yes
Sandy,11,6,20,7.1,Rose,No
Sandy,6,10,21,6,Cactus,No
Clay,6,26,20,5.7,Lily,Yes
Loamy,4,15,28,6.5,Cactus,Yes
Clay,8,20,28,5.6,Cactus,No
Clay,10,20,20,7.7,Cactus,No
Clay,12,5,20,5.6,Cactus,No
Clay,10,13,27,6.9,Fern,No
Sandy,12,10,17,6.6,Rose,No
Clay,11,20,20,7.2,Oak,Yes
Loamy,5,7,22,6.3,Cactus,Yes
Sandy,4,24,25,5.9,Lily,Yes
Loamy,10,8,25,8,Cactus,Yes
Loamy,10,23,16,7.6,Lily,No
Loamy,11,30,19,7.7,Fern,No
Loamy,8,7,28,6.1,Lily,No
Sandy,6,23,15,5.6,Oak,Yes
Sandy,11,24,26,6.3,Rose,Yes
Loamy,9,11,29,6.8,Lily,No
Loamy,6,24,30,6.3,Lily,No
Sandy,4,13,15,7.6,Rose,Yes
Sandy,6,5,19,6.2,Oak,Yes
Sandy,8,12,26,7.9,Cactus,No
Clay,6,11,27,6.6,Lily,No
Clay,4,22,30,7.6,Rose,Yes
Clay,8,12,17,6,Fern,No
Loamy,10,5,18,6.5,Rose,No
Clay,10,15,17,7.2,Fern,No
Loamy,12,29,30,5.8,Oak,Yes
Loamy,6,29,15,5.8,Cactus,Yes
Clay,10,22,30,7.9,Rose,Yes
Loamy,4,27,15,7.3,Lily,Yes
Clay,7,14,26,5.6,Oak,Yes
Clay,7,7,26,6.5,Rose,Yes
Sandy,8,11,28,6.6,Lily,Yes
Clay,10,20,27,7.4,Rose,No
Sandy,10,30,28,6.1,Fern,No
Clay,7,20,19,6,Rose,No
Clay,10,29,20,5.7,Rose,No
Sandy,6,24,17,6.6,Rose,No
Sandy,9,21,26,7.2,Oak,No
Clay,5,6,23,5.6,Rose,No
Loamy,12,5,19,7.8,Lily,Yes
